name,price,discount_rate,product_description,image_name
Bộ bàn ghế xếp hình LEGO đa năng kèm 105 chi tiết xếp hình cỡ lớn UG401-1,580000,20,"Thương hiệu: BBT Global
Kích thước bàn: 42x32x35cm, Ghế ngồi: 21x21x38cm
Kích thước hộp đựng: 54x9x43cm
Dành cho bé: 2
Mặt bàn 2 trong 1, tích hợp mặt bàn chơi lego cho bé
Ngoài ra ba mẹ có thể dùng làm bàn ăn, bàn học và bạn ngồi chơi cho bé (dùng mặt bàn nhẵn)
Màu sắc: kết hợp 3 màu trắngvàng  xanh vô cùng trang nhã
Trọn bộ gồm: 1 bàn  1 ghế + 4 hộp chứa đồ + 105 chi tiết xếp hình cỡ lớn
Chất liệu: nhựa nguyên sinh an toàn cho bé
Tiêu chuẩn: hàng cao cấp xuất Châu Âu CE
",ug401-1-ban-ghe-tre-em-kiem-xep-hinh-lego-cho-be-medium.jpg
Bộ bàn chơi LEGO đa năng 2 ghế kèm bộ xếp hình 100 chi tiết cỡ lớn 188T-8/188T-9,1100000,20,"Thương hiệu: BBT Global
Kích thước bàn: 61*61*52cm, ghế: 28*28*45cm
Dành cho bé: 110 tuổi
Mặt bàn 2 trong 1, tích hợp mặt bàn chơi lego cho bé
Ngoài ra ba mẹ có thể dùng làm bàn ăn, bàn học và bạn ngồi chơi cho bé (dùng mặt bàn nhẵn)
Màu sắc: kết hợp 3 màu trắngvàng  xanh vô cùng trang nhã
Trọn bộ gồm: 1 bàn  2 ghế + 4 hộp chứa đồ + 100 chi tiết xếp hình cỡ lớn
Chất liệu: nhựa nguyên sinh an toàn cho bé
Tiêu chuẩn: hàng xuất Châu Âu
",188t-8-ban-choi-lego-cho-be-medium.jpg
Đồ chơi xếp hình ngôi nhà trái cây 336 chi tiết 5218,199000,0,"Thương hiệu: BBT Global
Kích thước: 16,5 x 5 x 19,5cm
Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp
Dành cho bé 5
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu
Đạt tiêu chuẩn: CE, CR, CQđảm bảo an toàn cho bé
",5218-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi xếp hình cho bé gái siêu thị 490 chi tiết 6571,399000,0,"Thương hiệu: BBT Global
Kích thước: 42,5 x 6,8 x 32,8cm
Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp
Dành cho bé 5
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu
Đạt tiêu chuẩn: CE, CR, CQđảm bảo an toàn cho bé
",5571-medium.png
Đồ chơi xếp hình khủng long máy Mecha Gorgila 560 chi tiết 1510,379000,0,"Thương hiệu: BBT Global
Kích thước hộp: 42 x 6.8 x 30cm
Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp
Dành cho bé 6
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu
Đạt tiêu chuẩn: CE, CR, CQđảm bảo an toàn cho bé
",1510-medium.png
Đồ chơi xếp hình xe ô tô Lamborghini cho bé 341 chi tiết 5103,199000,0,"

",5103-medium.png
Đồ chơi xếp hình thế giới khủng long 352 chi tiết SY1505,199000,20,"Thương hiệu: BBT Global
Kích thước: 42 x 6.8 x 30cm
Bao gồm: Các mảnh ghép và tờ hướng dẫn lắp ráp
Dành cho bé 6
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm chất lượng cao được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu
Đạt tiêu chuẩn: CE, CR, CQđảm bảo an toàn cho bé
",sy1505-medium.png
Bộ đồ chơi xếp hình thả bóng thông minh 48 chi tiết 68078,220000,20,"Thương hiệu: BBTGlobal
Độ tuổi sử dụng: 3+, gồm 48 chi tiết cho bé thỏa thích xếp hình và chơi thả bóng
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn - thietbivuichoi.vn
",68078-do-choi-xep-hinh-tha-bong-cho-be-10-medium.jpg
Đồ chơi xếp hình 3D nam châm 40 chi tiết BBT Global 689-28,188000,20,"Thương hiệu: BBT Global
Độ tuổi: 3
Với 40 chi tiết cho bé thỏa sức xếp hình ngôi nhà, vòng quay mặt trời...
Chất liệu: nhựa nguyên sinh an toàn cho bé, cạnh có nam châm giúp các chi tiết liên kết với nhau
",689-28-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi xếp hình cho bé vườn bách thú thả bóng thông minh 168 chi tiết 8803C,580000,20,"Thương hiệu: BBT GLOBAL
Kích thước sau khi xếp thành khối: 50*29*27cm
Dành cho bé: 3
Chất liệu: nhựa nguyên sinh đảm bảo an toàn cho bé
Cho bé chơi xếp hình khu rừng và muôn thú sau đó bé được chơi thử thách thả bóng, dẫn bóng về đích với thời gian nhanh nhất với 8 trái bóng sắc màu
",8803c-do-choi-xep-hinh-cho-be-medium.jpg
Bộ bàn ghế xếp hình LEGO đa năng kèm 105 chi tiết xếp hình cỡ lớn UG401-2,580000,20,"Thương hiệu: BBT Global
Kích thước bàn: 42x32x35cm, Ghế ngồi: 21x21x38cm
Kích thước hộp đựng: 54x9x43cm
Dành cho bé: 2
Mặt bàn 2 trong 1, tích hợp mặt bàn chơi lego cho bé
Ngoài ra ba mẹ có thể dùng làm bàn ăn, bàn học và bạn ngồi chơi cho bé (dùng mặt bàn nhẵn)
Màu sắc: kết hợp 3 màu trắngvàng  xanh vô cùng trang nhã
Trọn bộ gồm: 1 bàn  1 ghế + 4 hộp chứa đồ + 105 chi tiết xếp hình cỡ lớn
Chất liệu: nhựa nguyên sinh an toàn cho bé
Tiêu chuẩn: hàng cao cấp xuất Châu Âu CE
",ug401-2-ban-ghe-tre-em-kiem-xep-hinh-lego-cho-be-1-medium.jpg
Đồ chơi xếp hình 3D cho bé hình tàu thủy LX-207,20000,20,"Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy
Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé
Tháo lắp dễ dàng, mô hình tàu hải tặc trong bộ phim hoạt hình được nhiều bé yêu thích
Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cmđây là SIZE TO NHẤT
",lx-207-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình 3D cho bé hình trực thăng LD-258-17,20000,20,"Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy
Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé
Tháo lắp dễ dàng, mô hình máy bay quân sự được nhiều bé trai yêu thích, bổ sung vào bộ sưu tập mô hình của mình
Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cmđây là SIZE TO NHẤT
",dl-258-17-do-choi-xep-hinh-cho-be-2-medium.jpg
Bộ bàn chơi LEGO đa năng 1 ghế kèm bộ xếp hình 60 chi tiết cỡ lớn 188T-3,940000,20,"Thương hiệu: BBT Global
Kích thước bàn: 56*43*43cm, ghế: 28*28*45cm
Kích thước hộp: 58*22*44cm
Trọn bộ gồm: 1 bàn  1 ghế + 2 hộp chứa đồ + 60 chi tiết xếp hình cỡ lớn
Mặt bàn đa năng cho bé chơi, 1 mặt cho bé chơi lego, 1 mặt trơn cho bé làm bàn ăn, bàn học và bàn ngồi chơi
Dưới mặt bàn sẽ là 1 ngăn đựng đồ lớn cho bé đựng đồ chơi logo vô cùng tiện lợi
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm đạt tiêu chuẩn: EU(xuất Châu Âu), CR (Nhập khẩu về VN), CQ(kiểm định an toàn cho trẻ)
",188t-3-ban-ghe-choi-lego-da-nang-cho-be-3-medium.jpg
